Date,fix,kix,sp5
2005-01-03,575.3699,2955.99,93.397919
2005-01-04,565.327,2980.48,92.256668
2005-01-05,562.264,2991.32,91.620041
2005-01-06,560.5194,2981.1,92.085884
2005-01-07,559.8834,3007.94,91.953888
2005-01-10,561.8854,3018.55,92.388649
2005-01-11,562.6848,3049.92,91.752022
2005-01-12,565.8771,3065.05,92.054832
2005-01-13,566.3191,3082.52,91.317245
2005-01-14,565.46,3102.16,91.798576
2005-01-18,566.0747,3083.38,92.753548
2005-01-19,563.9948,3073.82,91.783066
2005-01-20,559.7343,3085.56,91.224068
2005-01-21,563.2919,3078.93,90.6651
2005-01-24,563.3299,3091.35,90.486519
2005-01-25,561.5692,3091.19,90.742722
2005-01-26,563.2221,3092.82,91.014442
2005-01-27,562.6556,3098.74,91.169731
2005-01-28,563.4832,3092.24,91.169731
2005-01-31,564.5483,3094.38,91.736511
2005-02-01,566.0311,3128.6,92.318787
2005-02-02,566.0556,3132.43,92.598267
2005-02-03,563.9398,3137.04,92.357582
2005-02-04,566.4685,3167.79,93.343582
2005-02-07,566.32,3181.29,93.219383
2005-02-08,566.6307,3194.21,93.328072
2005-02-09,566.2974,3184.99,92.629311
2005-02-10,567.752,3198.23,92.963158
2005-02-11,569.4114,3198.06,93.76284
2005-02-14,569.0174,3211.76,93.692955
2005-02-15,569.4339,3209.01,94.042328
2005-02-16,568.7789,3210.45,94.104424
2005-02-17,569.0183,3203.19,93.343582
2005-02-18,567.6986,3191.78,93.467819
2005-02-22,566.2641,3207.73,92.078102
2005-02-23,565.9807,3203.34,92.738022
2005-02-24,565.2478,3213.28,93.351349
2005-02-25,566.3074,3219.37,94.275208
2005-02-28,567.1039,3212.81,93.654106
2005-03-01,566.5331,3209.7,94.119965
2005-03-02,565.3348,3185.68,94.073387
2005-03-03,567.0005,3204.64,94.112221
2005-03-04,571.9341,3208.66,95.284523
2005-03-07,573.6298,3186.81,95.3311
2005-03-08,575.7996,3187.83,94.973969
2005-03-09,573.6548,3206.67,93.918129
2005-03-10,571.9697,3224.0,94.127708
2005-03-11,572.8969999999999,3212.65,93.467819
2005-03-14,569.9808,3189.83,94.050072
2005-03-15,570.773,3183.82,93.273712
2005-03-16,571.1253,3179.2,92.481827
2005-03-17,569.4912,3168.1,92.668121
2005-03-18,568.7314,3170.25,92.392998
2005-03-21,564.0131,3154.25,92.050056
2005-03-22,564.5561,3149.34,91.114761
2005-03-23,557.7362,3148.87,91.192703
2005-03-24,558.3186,3155.01,91.301804
2005-03-29,558.6542,3137.85,90.826324
2005-03-30,559.8688,3128.4,92.112434
2005-03-31,561.9334,3126.07,91.940933
2005-04-01,560.8542,3139.54,91.52784
2005-04-04,560.8917,3148.5,91.683716
2005-04-05,561.5723,3141.19,92.120201
